timestamp,username,group,event
2025-11-03T18:49:13.336Z,user02,treatment,DECLINED_CONSENT
2025-11-04T22:16:29.766Z,user01,treatment,DECLINED_CONSENT
2025-11-04T22:17:02.091Z,user01,treatment,DECLINED_CONSENT
