timestamp,username,group,demographics-survey-q1,demographics-survey-q2,demographics-survey-q3,demographics-survey-q4,demographics-survey-q5,demographics-survey-q6,demographics-survey-q7
1760637298006,user01,treatment,Male,27,5,5,5,Fluent/Native,2
1760637322295,user02,treatment,undefined,,,,,undefined,undefined
